dataset,metric,result
ctgan_acic_4.csv,delta_coverage_beta_OC,0.43161666666666676
ctgan_acic_4.csv,authenticity_OC,0.5495
ctgan_acic_4.csv,delta_precision_alpha_naive,0.8844
ctgan_acic_4.csv,delta_coverage_beta_naive,0.23876666666666668
ctgan_acic_4.csv,authenticity_naive,0.57875
ddpm_acic_2.csv,marginal,0.6280217666201285
ddpm_acic_2.csv,delta_precision_alpha_OC,0.18208333333333326
ddpm_acic_2.csv,delta_coverage_beta_OC,0.0017666666666665831
ddpm_acic_2.csv,authenticity_OC,1.0
ddpm_acic_2.csv,delta_precision_alpha_naive,0.0009333333333333416
ddpm_acic_2.csv,delta_coverage_beta_naive,0.0
ddpm_acic_2.csv,authenticity_naive,1.0
ctgan_acic_1.csv,marginal,0.9728671941901974
ctgan_acic_1.csv,delta_precision_alpha_OC,0.8805666666666667
ctgan_acic_1.csv,delta_coverage_beta_OC,0.46073333333333333
ctgan_acic_1.csv,authenticity_OC,0.5425
ctgan_acic_1.csv,delta_precision_alpha_naive,0.8177
ctgan_acic_1.csv,delta_coverage_beta_naive,0.21716666666666684
ctgan_acic_1.csv,authenticity_naive,0.568
arf_acic_0.csv,marginal,0.9836742912746701
arf_acic_0.csv,delta_precision_alpha_OC,0.7853166666666667
arf_acic_0.csv,delta_coverage_beta_OC,0.42399999999999993
arf_acic_0.csv,authenticity_OC,0.565
arf_acic_0.csv,delta_precision_alpha_naive,0.7543068965517241
arf_acic_0.csv,delta_coverage_beta_naive,0.15691666666666682
arf_acic_0.csv,authenticity_naive,0.63875
arf_acic_4.csv,marginal,0.9836669628192853
arf_acic_4.csv,delta_precision_alpha_OC,0.7742
arf_acic_4.csv,delta_coverage_beta_OC,0.4353166666666667
arf_acic_4.csv,authenticity_OC,0.5525
arf_acic_4.csv,delta_precision_alpha_naive,0.7687356321839081
arf_acic_4.csv,delta_coverage_beta_naive,0.1543
arf_acic_4.csv,authenticity_naive,0.641
ctgan_acic_3.csv,marginal,0.9646106243109487
ctgan_acic_3.csv,delta_precision_alpha_OC,0.9148166666666666
ctgan_acic_3.csv,delta_coverage_beta_OC,0.44165
ctgan_acic_3.csv,authenticity_OC,0.52575
ctgan_acic_3.csv,delta_precision_alpha_naive,0.6943166666666667
ctgan_acic_3.csv,delta_coverage_beta_naive,0.16298333333333326
ctgan_acic_3.csv,authenticity_naive,0.61575
tvae_acic_1.csv,marginal,0.9160313890669236
tvae_acic_1.csv,delta_precision_alpha_OC,0.964635632183908
tvae_acic_1.csv,delta_coverage_beta_OC,0.4891333333333333
tvae_acic_1.csv,authenticity_OC,0.50025
tvae_acic_1.csv,delta_precision_alpha_naive,0.8599666666666667
tvae_acic_1.csv,delta_coverage_beta_naive,0.37478333333333336
tvae_acic_1.csv,authenticity_naive,0.5295
ctgan_acic_0.csv,marginal,0.9545165036808465
ctgan_acic_0.csv,delta_precision_alpha_OC,0.73685
ctgan_acic_0.csv,delta_coverage_beta_OC,0.4157833333333334
ctgan_acic_0.csv,authenticity_OC,0.58475
ctgan_acic_0.csv,delta_precision_alpha_naive,0.9055333333333333
ctgan_acic_0.csv,delta_coverage_beta_naive,0.23660000000000003
ctgan_acic_0.csv,authenticity_naive,0.58225
ddpm_acic_1.csv,marginal,0.6259873110854262
ddpm_acic_1.csv,delta_precision_alpha_OC,0.12071666666666658
ddpm_acic_1.csv,delta_coverage_beta_OC,0.0026333333333333764
ddpm_acic_1.csv,authenticity_OC,0.99975
ddpm_acic_1.csv,delta_precision_alpha_naive,0.0002166666666666428
ddpm_acic_1.csv,delta_coverage_beta_naive,0.0
ddpm_acic_1.csv,authenticity_naive,1.0
ddpm_acic_3.csv,marginal,0.6116423184494219
ddpm_acic_3.csv,delta_precision_alpha_OC,0.15193333333333336
ddpm_acic_3.csv,delta_coverage_beta_OC,0.0029000000000000137
ddpm_acic_3.csv,authenticity_OC,1.0
ddpm_acic_3.csv,delta_precision_alpha_naive,0.0007166666666666988
ddpm_acic_3.csv,delta_coverage_beta_naive,0.0
ddpm_acic_3.csv,authenticity_naive,1.0
tvae_acic_3.csv,marginal,0.9129666996395012
tvae_acic_3.csv,delta_precision_alpha_OC,0.9644270114942529
tvae_acic_3.csv,delta_coverage_beta_OC,0.4914666666666666
tvae_acic_3.csv,authenticity_OC,0.51375
tvae_acic_3.csv,delta_precision_alpha_naive,0.8589666666666667
tvae_acic_3.csv,delta_coverage_beta_naive,0.39208333333333323
tvae_acic_3.csv,authenticity_naive,0.545
tvae_acic_4.csv,marginal,0.9184145372022986
tvae_acic_4.csv,delta_precision_alpha_OC,0.9728724137931034
tvae_acic_4.csv,delta_coverage_beta_OC,0.49775
tvae_acic_4.csv,authenticity_OC,0.49975
tvae_acic_4.csv,delta_precision_alpha_naive,0.8555999999999999
tvae_acic_4.csv,delta_coverage_beta_naive,0.3915166666666666
tvae_acic_4.csv,authenticity_naive,0.51875
ddpm_acic_4.csv,marginal,0.6311382977144304
ddpm_acic_4.csv,delta_precision_alpha_OC,0.10186666666666677
ddpm_acic_4.csv,delta_coverage_beta_OC,3.333333333332966e-05
ddpm_acic_4.csv,authenticity_OC,1.0
ddpm_acic_4.csv,delta_precision_alpha_naive,0.00023333333333341866
ddpm_acic_4.csv,delta_coverage_beta_naive,0.0
ddpm_acic_4.csv,authenticity_naive,1.0
nflow_acic_1.csv,marginal,0.9070396136942309
nflow_acic_1.csv,delta_precision_alpha_OC,0.6735
nflow_acic_1.csv,delta_coverage_beta_OC,0.31623333333333326
nflow_acic_1.csv,authenticity_OC,0.62025
nflow_acic_1.csv,delta_precision_alpha_naive,0.3530333333333334
nflow_acic_1.csv,delta_coverage_beta_naive,0.018950000000000022
nflow_acic_1.csv,authenticity_naive,0.89825
nflow_acic_3.csv,marginal,0.9240688471527854
nflow_acic_3.csv,delta_precision_alpha_OC,0.7356333333333334
nflow_acic_3.csv,delta_coverage_beta_OC,0.35706666666666653
nflow_acic_3.csv,authenticity_OC,0.5755
nflow_acic_3.csv,delta_precision_alpha_naive,0.44930000000000014
nflow_acic_3.csv,delta_coverage_beta_naive,0.03334999999999999
nflow_acic_3.csv,authenticity_naive,0.79175
