method,f,c,d,u_pehe,u_policy,u_int,n_t
seq_new,0.6774666666666667,0.40913333333333324,0.9206741493333824,1.9423143,0.62,0.8615916371279798,1
standard,0.35973333333333335,0.2888666666666666,0.8394007961017937,5.7982297,0.72,0.4434171344387758,1
seq_new,0.6752,0.4054,0.9287821956112675,1.7274842,0.65,0.7931230544300968,1
standard,0.3997333333333334,0.3258,0.8385152218185262,5.00194,0.705,0.23897070731029948,1
seq_new,0.6630666666666666,0.4003333333333333,0.9376167058476433,1.6916537,0.645,0.7837927311965404,1
standard,0.33386666666666664,0.2788666666666667,0.8558434708728682,6.0623546,0.57,0.12339587701846529,1
seq_new,0.6557333333333333,0.4097333333333333,0.9189432795791767,1.952638,0.585,0.776929826553703,1
standard,0.3763333333333334,0.30286666666666673,0.8227123288501037,4.1855373,0.625,-0.08765655571505158,1
seq_new,0.6772,0.4167333333333333,0.9359557137014591,1.8868344,0.655,0.7431713523223742,1
standard,0.3615333333333334,0.30613333333333337,0.8639988879922449,4.7934775,0.74,0.2946830754397983,1
seq_new,0.6793333333333333,0.42166666666666675,0.9209897135393872,1.942702,0.665,0.7951053054005284,1
standard,0.3874000000000001,0.33240000000000014,0.8552180846331343,6.799796,0.655,0.7231631494573877,1
seq_new,0.6953333333333334,0.43679999999999997,0.9194996978529908,2.0106952,0.63,0.6777938169700647,1
standard,0.3572000000000001,0.3108000000000001,0.8118490076186844,4.6781125,0.625,0.5078374158719602,1
seq_new,0.6605333333333334,0.40900000000000003,0.9145622074048586,1.8414209,0.67,0.7993410713017092,1
standard,0.35706666666666653,0.2905333333333334,0.8410492557997548,5.7779236,0.74,0.380505024052596,1
seq_new,0.6862,0.39626666666666677,0.9308939714120672,1.6620499,0.65,0.6170081744528937,1
standard,0.36386666666666667,0.2843333333333332,0.9099299001491624,4.668774,0.81,-0.12193095253768924,2
seq_new,0.6279999999999999,0.4016666666666667,0.8890271794979633,1.8072621,0.775,0.7757285341921606,2
standard,0.33786666666666665,0.2973333333333332,0.8355103126425245,4.390306,0.72,-0.2612427078415614,2
seq_new,0.6184000000000001,0.4003333333333333,0.8823711476673386,1.8421947,0.825,0.8087459382423791,2
standard,0.2827333333333334,0.25360000000000005,0.8387594133563279,4.3941646,0.765,-0.41739075246973384,2
seq_new,0.6267333333333333,0.38526666666666665,0.9025690691495275,1.6666062,0.82,0.7842149867231032,2
standard,0.3085333333333333,0.2715333333333334,0.89297185609237,3.8895776,0.64,0.5147098868629403,2
seq_new,0.6110666666666666,0.38646666666666674,0.8854674424526052,1.8910686,0.805,0.5580907901905066,2
standard,0.3371333333333334,0.3006,0.8649721318020464,5.7626357,0.44,-0.011862897889713415,2
seq_new,0.6309333333333333,0.41833333333333333,0.899224934129528,1.6489868,0.84,0.730605431406672,2
standard,0.3406666666666667,0.31586666666666674,0.8230336385620449,5.0046864,0.43,-0.11947949090309755,2
seq_new,0.6198666666666668,0.3971333333333332,0.9386350680002215,1.7591513,0.825,0.6570405531568502,2
standard,0.31013333333333337,0.2686666666666667,0.7890487677500926,7.8400917,0.485,0.13691192231385324,2
seq_new,0.6206666666666667,0.3985333333333333,0.905476160057115,1.623637,0.77,0.598139649253724,2
standard,0.2979333333333333,0.281,0.8686696000314643,5.951155,0.59,-0.44035022350941466,2
seq_new,0.6286666666666667,0.3743333333333332,0.9030555336339847,1.6791316,0.83,0.7173914918984192,2
standard,0.3208000000000001,0.29620000000000013,0.8528868867358474,5.5012126,0.515,-0.5132210554149514,2
seq_new,0.617,0.3974,0.8969687146719223,1.603385,0.83,0.6808026536187107,2
standard,0.31633333333333313,0.2778666666666666,0.7942992396105658,8.372624,0.47,-0.295352021749256,2
seq_new,0.6184000000000001,0.375,0.8853338142833422,1.6807055,0.8,0.8859361268504345,2
standard,0.2909999999999999,0.2644666666666666,0.8872288571347638,7.327105,0.5,-0.5860736816610855,3
seq_new,0.6675333333333333,0.3887333333333335,0.9125264231930161,2.1193645,0.84,0.8900292057739292,3
standard,0.3347333333333332,0.2854,0.8728388806341316,4.536395,0.8,-0.7271778919665047,3
seq_new,0.6752666666666667,0.4062666666666668,0.895267930286449,1.7058496,0.825,0.9109346183342174,3
standard,0.3104,0.2637999999999999,0.7876872455994536,7.4727736,0.87,0.3406918401216876,3
seq_new,0.6745333333333333,0.38360000000000005,0.9118220943443838,1.8891815,0.875,0.7299681073175581,3
standard,0.33100000000000007,0.2846666666666666,0.777441223521589,5.337531,0.83,0.10379522865465607,3
seq_new,0.6774,0.3816666666666666,0.9043113893846086,1.5772241,0.855,0.916223839386431,3
standard,0.28493333333333337,0.2230000000000001,0.7328950836638569,8.866849,0.915,0.06901340540983537,3
seq_new,0.6807333333333334,0.4140666666666667,0.9113675935588791,1.7042712,0.855,0.9327413866791759,3
standard,0.3218,0.2578666666666667,0.799681339678812,6.3452597,0.665,0.06230763892558426,3
seq_new,0.6918,0.3950666666666667,0.895821040849339,1.6762491,0.91,0.8149298807381672,3
standard,0.2879333333333334,0.22206666666666663,0.8166930397594371,4.9958797,0.82,0.12476693573316885,3
seq_new,0.6789333333333334,0.3911333333333332,0.9017071963166529,1.626378,0.88,0.8816150594400854,3
standard,0.25893333333333346,0.2234666666666668,0.8534799836518526,6.7610197,0.85,-0.05551925869521287,3
seq_new,0.6704666666666668,0.38680000000000014,0.9000486679715874,1.6986971,0.87,0.8922788667853816,3
standard,0.3546666666666668,0.2704000000000001,0.837458480183346,5.4757366,0.8,0.17112079126926344,3
seq_new,0.6618666666666667,0.38606666666666667,0.9048901833213272,1.6165735,0.82,0.9414001655948168,3
standard,0.31953333333333345,0.2554666666666666,0.8213705558793554,7.094509,0.49,-0.45748062871833967,3
seq_new,0.68,0.40693333333333326,0.8871248487094511,1.6780037,0.845,0.8970437384147946,3
standard,0.2558666666666666,0.2504666666666667,0.7754835072593598,8.613936,0.935,0.787587656717533,4
seq_new,0.6381333333333332,0.4070666666666668,0.9046199143914432,1.7419751,0.95,0.948146838485877,4
standard,0.3333333333333335,0.28159999999999996,0.8584374567828352,9.577182,0.91,0.6727445958555991,4
seq_new,0.6406666666666667,0.40613333333333335,0.8875485899473797,1.8753372,0.935,0.8639090417456003,4
standard,0.28166666666666673,0.2576666666666667,0.757167039360714,9.99321,0.925,0.6272139190793723,4
seq_new,0.6410666666666667,0.3576666666666667,0.915064049461189,1.7196251,0.94,0.891375052651589,4
standard,0.33353333333333335,0.2832,0.8295368930435099,7.5299306,0.98,0.0927983241498149,4
seq_new,0.6236,0.39646666666666663,0.9336605397252955,1.76439,0.925,0.8446961491685973,4
standard,0.2946000000000001,0.28826666666666667,0.814851948840547,6.656721,0.885,0.6781130218818207,4
seq_new,0.6376,0.36640000000000006,0.9189177403355299,1.9080411,0.915,0.8331065793519405,4
standard,0.26826666666666676,0.2693333333333334,0.90309134196131,6.2632403,0.9,-0.13180411045168913,4
seq_new,0.6537333333333335,0.4306,0.8935177922126021,1.7590113,0.94,0.8456894668739957,4
standard,0.29433333333333356,0.25693333333333335,0.8297641025508453,7.385453,0.985,0.17723850964868731,4
seq_new,0.6339333333333333,0.34633333333333327,0.9158963136808498,1.7673277,0.935,0.8399818374051122,4
standard,0.3055333333333333,0.2739333333333335,0.8289948101405182,9.200269,0.975,0.568980990541666,4
seq_new,0.6384666666666667,0.3998666666666666,0.8829587486151708,1.4614722,0.94,0.9011128970994662,4
standard,0.30633333333333335,0.25453333333333317,0.7983365372217124,8.136906,0.955,0.4627643175931823,4
seq_new,0.6443333333333333,0.38860000000000006,0.914660970081106,1.4990075,0.93,0.8531743535324753,4
standard,0.29766666666666663,0.2695333333333334,0.7256848931306872,10.875935,0.985,0.6903628876101453,4
seq_new,0.6344666666666666,0.38946666666666674,0.928376385996939,1.5960824,0.935,0.8881270401357313,4
standard,0.28446666666666676,0.2808666666666666,0.7646556091626482,9.397316,0.98,0.24553582866768622,5
seq_new,0.7094666666666667,0.4177333333333334,0.8804284421534868,1.8362803,0.92,0.9227369941064518,5
standard,0.3394666666666667,0.2900666666666668,0.7222184873135666,10.863421,0.99,0.44465706091477186,5
seq_new,0.6938,0.3950666666666667,0.9104872187214063,1.8959867,0.93,0.9196815513054831,5
standard,0.32466666666666677,0.28559999999999997,0.7756583851392707,7.5839376,0.995,0.07255701928364156,5
seq_new,0.7149333333333334,0.4014000000000001,0.8815409897092206,1.5905735,0.93,0.9041503298164517,5
standard,0.24193333333333344,0.23440000000000005,0.699168824508664,11.6882925,0.99,0.507503713649918,5
seq_new,0.7030666666666666,0.39380000000000004,0.9010744480038684,1.725968,0.945,0.9055187771057134,5
standard,0.31466666666666654,0.2952666666666668,0.8297385469444926,7.390857,0.94,-0.28948366000277814,5
seq_new,0.7112,0.43699999999999994,0.8690069192808012,1.7298836,0.925,0.8803928288682593,5
standard,0.2838666666666666,0.24940000000000007,0.7834110303362665,8.773753,0.995,0.8013855892159749,5
seq_new,0.7265333333333333,0.4047333333333333,0.8715138301482213,1.7910691,0.945,0.8979831300175676,5
standard,0.2768666666666668,0.23253333333333326,0.7281770783956778,10.659112,0.97,0.20201274388555057,5
seq_new,0.7043333333333334,0.4166666666666665,0.877699311540979,1.7662361,0.93,0.9331895432174651,5
standard,0.28546666666666676,0.24086666666666667,0.7638054153563473,8.610297,0.985,0.411287183649188,5
seq_new,0.7070000000000001,0.4146000000000001,0.8653283619505745,1.8157148,0.92,0.9409758154959489,5
standard,0.31500000000000017,0.25546666666666673,0.791704490184574,7.3167005,0.98,0.1399297834428701,5
seq_new,0.7183333333333334,0.4306,0.8907963270526323,1.9627054,0.925,0.8980779109721277,5
standard,0.3226,0.27159999999999995,0.8822663427682292,6.118494,0.87,0.1580416562704544,5
seq_new,0.7090666666666667,0.40260000000000007,0.8967202839580796,1.5907396,0.945,0.9016493551114539,5
