method,f,c,d,u_pehe,u_policy,u_int,n_t
standard,0.3242666666666665,0.32553333333333323,0.8688018478016026,2.451876327395439,0.685,0.41118048285636416,2
seq_new,0.6368,0.366,0.9097208034008555,1.5170232951641083,0.865,0.763379933133161,2
standard,0.38860000000000006,0.3171333333333334,0.7962076775217073,3.4559601545333862,0.435,0.42148629395440207,2
seq_new,0.6204666666666667,0.37913333333333343,0.8927648856312682,1.6069253832101822,0.88,0.8141863206792687,2
standard,0.34906666666666664,0.3092666666666667,0.8426732459448607,2.8451333343982697,0.545,0.33917853183584223,2
seq_new,0.6293333333333333,0.3948666666666667,0.8957625879915825,1.4648161083459854,0.855,0.8017396410610235,2
standard,0.36506666666666654,0.29259999999999997,0.8498458353457811,2.601198196411133,0.57,-0.05690026048134275,2
seq_new,0.6277333333333334,0.3875333333333334,0.9146709887160267,1.5094314813613892,0.88,0.7285973654725402,2
standard,0.29946666666666666,0.29033333333333344,0.8733037999220669,3.6290288269519806,0.91,0.14174389992423994,2
seq_new,0.6322000000000001,0.3907333333333334,0.9323429224577413,1.5903385132551193,0.875,0.6384682791591739,2
standard,0.32000000000000006,0.28833333333333333,0.8408360421370751,3.223875194787979,0.565,-0.4845721699647615,2
seq_new,0.6226,0.3950666666666667,0.8865531715007121,1.574960395693779,0.855,0.7606128954102948,2
standard,0.34906666666666664,0.2928666666666667,0.8264120040286371,2.70682156085968,0.47,0.415524780934727,2
seq_new,0.6168,0.382,0.8971673133598941,1.5393085330724716,0.875,0.8502966519279699,2
standard,0.2651999999999999,0.23026666666666673,0.780275353090509,3.9189045429229736,0.855,0.11517687867714452,3
seq_new,0.6804,0.39293333333333325,0.9308076426332992,1.565432995557785,0.925,0.8898702198100775,3
standard,0.28846666666666676,0.24493333333333323,0.8423922477059866,2.972048193216324,0.715,0.3158081705854522,3
seq_new,0.6808,0.3908666666666668,0.9182976241037393,1.695956140756607,0.925,0.8121613207711279,3
standard,0.24933333333333318,0.21726666666666672,0.8048932754351872,3.402115285396576,0.765,-0.014106650808875949,3
seq_new,0.6776,0.41546666666666676,0.8903428189768513,1.6126531511545181,0.955,0.8678138120205351,3
standard,0.31033333333333346,0.2528666666666667,0.8127918927609507,4.092392206192017,0.9,0.6001049698694481,3
seq_new,0.6668000000000001,0.3746666666666667,0.8989028831673866,1.6774308681488037,0.91,0.7938974531411727,3
standard,0.2798666666666667,0.22799999999999998,0.8006750076725144,3.9109063744544983,0.805,-0.0271346070723886,3
seq_new,0.6618666666666667,0.38526666666666665,0.8953483683279185,1.620134487748146,0.95,0.9137413330151516,3
standard,0.2680666666666668,0.21720000000000006,0.7683147816412085,4.5472714602947235,0.855,0.23092720658903126,3
seq_new,0.6802000000000001,0.3846666666666667,0.898200869560496,1.6890937238931656,0.905,0.8285960342133124,3
standard,0.27606666666666657,0.23686666666666656,0.782352817758269,4.316284537315369,0.895,0.24069631380431689,3
seq_new,0.6755333333333333,0.3735333333333333,0.8875516102879686,1.6538490951061249,0.895,0.8868764428139085,3
standard,0.3255999999999999,0.26593333333333324,0.7667712963110495,4.4056186974048615,0.905,0.329147259109714,3
seq_new,0.681,0.3653333333333334,0.8939988597426156,1.63702954351902,0.905,0.7924908208858317,3
standard,0.2581333333333333,0.2112666666666667,0.7853165609566847,4.280206263065338,0.825,0.26560422429133607,3
seq_new,0.6702,0.39259999999999995,0.9072650238666841,1.5891868025064468,0.9,0.83890468937974,3
standard,0.30113333333333314,0.2366666666666667,0.8048650455754605,4.062399387359619,0.84,0.2111764692378406,3
seq_new,0.6934666666666667,0.41946666666666677,0.9112949084963581,1.6808684766292572,0.945,0.8405271853979872,3
standard,0.3318000000000001,0.2876666666666666,0.8318113626285716,3.6602858006954193,0.855,0.7814044659103971,4
seq_new,0.6413333333333334,0.40666666666666673,0.9063455090393688,2.10878649353981,0.93,0.8029141252355231,4
standard,0.31886666666666674,0.28659999999999997,0.7996762705629032,4.652585446834564,0.965,0.40342168188860517,4
seq_new,0.643,0.3813333333333334,0.8873106555222614,2.116909235715866,0.945,0.8417013138141817,4
standard,0.2865333333333333,0.2610666666666668,0.7829656807401337,6.094256937503815,0.985,0.6686901835931006,4
seq_new,0.6262666666666667,0.37826666666666675,0.9059169025274916,2.043161004781723,0.94,0.8751959199095274,4
standard,0.3149333333333332,0.2759999999999999,0.8569646446245469,3.9365338683128357,0.885,0.3669842555247969,4
seq_new,0.641,0.39380000000000015,0.9109206844363803,2.216269999742508,0.96,0.8810975523200243,4
standard,0.26893333333333336,0.27059999999999995,0.7748762203048711,4.9346882700920105,0.97,0.5686772476257149,4
seq_new,0.6463333333333333,0.3859999999999999,0.9133317136685737,2.1804805546998978,0.955,0.8421136957267916,4
standard,0.25839999999999996,0.2517999999999999,0.7625577917253625,5.2854578495025635,0.93,0.43016095547475686,4
seq_new,0.6474666666666666,0.40033333333333343,0.9216114821376598,2.0179437398910522,0.965,0.8806968542469386,4
standard,0.318666666666667,0.26979999999999993,0.7860370313562731,4.996413230895996,0.895,0.27828742903663545,4
seq_new,0.6489333333333334,0.4214000000000001,0.913172254778373,2.123545303940773,0.95,0.8179793730439194,4
standard,0.30059999999999987,0.2692,0.9099127446399572,4.41686737537384,0.605,0.05021446602640653,4
seq_new,0.6354,0.38260000000000005,0.8895769589247604,2.172873795032501,0.915,0.8134594223993248,4
standard,0.3413999999999999,0.3169333333333334,0.8151299694454046,4.318968445062637,0.97,0.6728039868161438,4
seq_new,0.648,0.40646666666666675,0.9023915444208548,1.9771882891654968,0.955,0.8422730730458224,4
standard,0.3006000000000001,0.26866666666666683,0.80386253899455,4.6981775760650635,0.97,0.7056458145897455,4
seq_new,0.6309333333333333,0.38773333333333326,0.9093502218199792,2.0265256762504578,0.955,0.8068765314244267,4
standard,0.37273333333333325,0.3204666666666667,0.7866564567910214,5.498642802238464,0.98,0.30522994787494884,5
seq_new,0.7004666666666666,0.4043333333333332,0.8792258774147216,2.175749808549881,0.97,0.8758776946183569,5
standard,0.3346666666666669,0.30486666666666684,0.7310397146589622,5.602919042110443,0.97,0.1849045653142573,5
seq_new,0.7204666666666666,0.39759999999999995,0.8930257065984055,2.335032641887665,0.97,0.8988081586294923,5
standard,0.25560000000000005,0.24839999999999995,0.8214016954138699,4.637654423713684,0.865,0.7922406344865018,5
seq_new,0.7354666666666667,0.4322666666666667,0.8737704763593896,2.333328142762184,0.96,0.8795427477291076,5
standard,0.27746666666666664,0.24826666666666664,0.7573354644608837,6.386941969394684,0.98,0.6323534427142304,5
seq_new,0.7046000000000001,0.3982,0.9217997049275024,2.1088328063488007,0.965,0.8944009095299456,5
standard,0.2910666666666667,0.27293333333333336,0.7899156428307799,5.0085055232048035,0.95,0.6015191000346128,5
seq_new,0.7023333333333334,0.3970666666666667,0.8770723026457204,2.1409254372119904,0.92,0.884411890585328,5
standard,0.29100000000000015,0.2393333333333333,0.7979735433569292,6.572427988052368,0.98,0.47664657949302647,5
seq_new,0.7045999999999999,0.40926666666666667,0.8880307706477709,2.15666800737381,0.96,0.9555780475698942,5
standard,0.31933333333333336,0.3010666666666668,0.8264778522655115,4.965831279754639,0.965,0.49382079700584086,5
seq_new,0.7146,0.42433333333333345,0.8980064233798954,2.152004152536392,0.965,0.9756167870719145,5
standard,0.31033333333333324,0.24586666666666657,0.8158060323401395,4.731132328510284,0.95,0.7086541115686913,5
seq_new,0.7055333333333333,0.4149333333333334,0.8960614670144204,2.301239997148514,0.97,0.9006902564267019,5
standard,0.3103999999999999,0.29666666666666663,0.7698904617079104,5.655114561319351,0.98,0.2454263813013833,5
seq_new,0.6953333333333334,0.3778666666666666,0.8827483743157732,2.0973409712314606,0.975,0.9166861748980992,5
standard,0.3114000000000001,0.26859999999999995,0.6987323281984941,6.533080518245697,0.975,0.3917792800644632,5
seq_new,0.7126666666666668,0.42446666666666677,0.8865546324322953,2.272664964199066,0.95,0.9265385622510534,5
