,dataset,metric,result
38,ddpm_ihdp_2.csv,authenticity_OC,0.555
39,ddpm_ihdp_2.csv,delta_precision_alpha_naive,0.7997777777777778
40,ddpm_ihdp_2.csv,delta_coverage_beta_naive,0.33566666666666656
41,ddpm_ihdp_2.csv,authenticity_naive,0.5283333333333333
42,tvae_ihdp_4.csv,marginal,0.8741758707663296
43,tvae_ihdp_4.csv,delta_precision_alpha_OC,0.41433333333333333
44,tvae_ihdp_4.csv,delta_coverage_beta_OC,0.32199999999999995
45,tvae_ihdp_4.csv,authenticity_OC,0.6883333333333334
46,tvae_ihdp_4.csv,delta_precision_alpha_naive,0.6537777777777778
47,tvae_ihdp_4.csv,delta_coverage_beta_naive,0.34311111111111114
48,tvae_ihdp_4.csv,authenticity_naive,0.5383333333333333
49,ddpm_ihdp_3.csv,marginal,0.9227907269547257
50,ddpm_ihdp_3.csv,delta_precision_alpha_OC,0.5143333333333333
51,ddpm_ihdp_3.csv,delta_coverage_beta_OC,0.3077777777777778
52,ddpm_ihdp_3.csv,authenticity_OC,0.5883333333333334
53,ddpm_ihdp_3.csv,delta_precision_alpha_naive,0.8650421455938697
54,ddpm_ihdp_3.csv,delta_coverage_beta_naive,0.388
55,ddpm_ihdp_3.csv,authenticity_naive,0.5383333333333333
56,tvae_ihdp_3.csv,marginal,0.9092876705568386
57,tvae_ihdp_3.csv,delta_precision_alpha_OC,0.4063333333333333
58,tvae_ihdp_3.csv,delta_coverage_beta_OC,0.28422222222222226
59,tvae_ihdp_3.csv,authenticity_OC,0.6566666666666666
60,tvae_ihdp_3.csv,delta_precision_alpha_naive,0.6872222222222222
61,tvae_ihdp_3.csv,delta_coverage_beta_naive,0.3428888888888889
62,tvae_ihdp_3.csv,authenticity_naive,0.57
63,nflow_ihdp_3.csv,marginal,0.9749149450464395
64,nflow_ihdp_3.csv,delta_precision_alpha_OC,0.25788888888888883
65,nflow_ihdp_3.csv,delta_coverage_beta_OC,0.1744444444444445
66,nflow_ihdp_3.csv,authenticity_OC,0.7316666666666667
67,nflow_ihdp_3.csv,delta_precision_alpha_naive,0.8656436781609196
68,nflow_ihdp_3.csv,delta_coverage_beta_naive,0.20466666666666666
69,nflow_ihdp_3.csv,authenticity_naive,0.67
70,ddpm_ihdp_0.csv,marginal,0.9095013707323141
71,ddpm_ihdp_0.csv,delta_precision_alpha_OC,0.4893333333333333
72,ddpm_ihdp_0.csv,delta_coverage_beta_OC,0.33244444444444443
73,ddpm_ihdp_0.csv,authenticity_OC,0.5933333333333334
74,ddpm_ihdp_0.csv,delta_precision_alpha_naive,0.8275555555555555
75,ddpm_ihdp_0.csv,delta_coverage_beta_naive,0.35844444444444434
76,ddpm_ihdp_0.csv,authenticity_naive,0.6016666666666667
77,arf_ihdp_1.csv,marginal,0.9878158952795658
78,arf_ihdp_1.csv,delta_precision_alpha_OC,0.35077777777777785
79,arf_ihdp_1.csv,delta_coverage_beta_OC,0.26055555555555565
80,arf_ihdp_1.csv,authenticity_OC,0.735
81,arf_ihdp_1.csv,delta_precision_alpha_naive,0.9147662835249042
82,arf_ihdp_1.csv,delta_coverage_beta_naive,0.40388888888888885
83,arf_ihdp_1.csv,authenticity_naive,0.55
84,arf_ihdp_4.csv,marginal,0.9880829612083867
85,arf_ihdp_4.csv,delta_precision_alpha_OC,0.3502222222222222
86,arf_ihdp_4.csv,delta_coverage_beta_OC,0.28522222222222227
87,arf_ihdp_4.csv,authenticity_OC,0.6683333333333333
88,arf_ihdp_4.csv,delta_precision_alpha_naive,0.9013218390804598
89,arf_ihdp_4.csv,delta_coverage_beta_naive,0.3388888888888889
90,arf_ihdp_4.csv,authenticity_naive,0.5616666666666666
91,arf_ihdp_0.csv,marginal,0.9904590711597023
92,arf_ihdp_0.csv,delta_precision_alpha_OC,0.3295555555555557
93,arf_ihdp_0.csv,delta_coverage_beta_OC,0.2303333333333334
94,arf_ihdp_0.csv,authenticity_OC,0.68
95,arf_ihdp_0.csv,delta_precision_alpha_naive,0.9050574712643678
96,arf_ihdp_0.csv,delta_coverage_beta_naive,0.35644444444444434
97,arf_ihdp_0.csv,authenticity_naive,0.5616666666666666
98,tvae_ihdp_2.csv,marginal,0.9156581142678104
99,tvae_ihdp_2.csv,delta_precision_alpha_OC,0.46166666666666667
100,tvae_ihdp_2.csv,delta_coverage_beta_OC,0.3364444444444443
101,tvae_ihdp_2.csv,authenticity_OC,0.6233333333333333
102,tvae_ihdp_2.csv,delta_precision_alpha_naive,0.6974444444444443
103,tvae_ihdp_2.csv,delta_coverage_beta_naive,0.4106666666666666
104,tvae_ihdp_2.csv,authenticity_naive,0.53
105,nflow_ihdp_1.csv,marginal,0.968525178672646
106,nflow_ihdp_1.csv,delta_precision_alpha_OC,0.18466666666666676
107,nflow_ihdp_1.csv,delta_coverage_beta_OC,0.14500000000000002
108,nflow_ihdp_1.csv,authenticity_OC,0.7566666666666667
109,nflow_ihdp_1.csv,delta_precision_alpha_naive,0.8319961685823755
110,nflow_ihdp_1.csv,delta_coverage_beta_naive,0.21500000000000008
111,nflow_ihdp_1.csv,authenticity_naive,0.735
112,arf_ihdp_2.csv,marginal,0.9901900923632486
113,arf_ihdp_2.csv,delta_precision_alpha_OC,0.35222222222222244
114,arf_ihdp_2.csv,delta_coverage_beta_OC,0.2533333333333334
115,arf_ihdp_2.csv,authenticity_OC,0.61
116,arf_ihdp_2.csv,delta_precision_alpha_naive,0.8853908045977011
117,arf_ihdp_2.csv,delta_coverage_beta_naive,0.3606666666666667
118,arf_ihdp_2.csv,authenticity_naive,0.5583333333333333
119,nflow_ihdp_4.csv,marginal,0.9661458694647531
120,nflow_ihdp_4.csv,delta_precision_alpha_OC,0.2193333333333335
121,nflow_ihdp_4.csv,delta_coverage_beta_OC,0.14122222222222225
122,nflow_ihdp_4.csv,authenticity_OC,0.7583333333333333
123,nflow_ihdp_4.csv,delta_precision_alpha_naive,0.8750574712643678
124,nflow_ihdp_4.csv,delta_coverage_beta_naive,0.23777777777777775
125,nflow_ihdp_4.csv,authenticity_naive,0.7116666666666667
126,ctgan_ihdp_3.csv,marginal,0.9345700770160248
127,ctgan_ihdp_3.csv,delta_precision_alpha_OC,0.4632222222222223
128,ctgan_ihdp_3.csv,delta_coverage_beta_OC,0.3034444444444445
129,ctgan_ihdp_3.csv,authenticity_OC,0.6283333333333333
130,ctgan_ihdp_3.csv,delta_precision_alpha_naive,0.9210919540229885
131,ctgan_ihdp_3.csv,delta_coverage_beta_naive,0.34244444444444433
132,ctgan_ihdp_3.csv,authenticity_naive,0.6
133,nflow_ihdp_0.csv,marginal,0.9705350882246252
134,nflow_ihdp_0.csv,delta_precision_alpha_OC,0.25088888888888894
135,nflow_ihdp_0.csv,delta_coverage_beta_OC,0.15622222222222215
136,nflow_ihdp_0.csv,authenticity_OC,0.75
137,nflow_ihdp_0.csv,delta_precision_alpha_naive,0.8803984674329502
138,nflow_ihdp_0.csv,delta_coverage_beta_naive,0.2212222222222222
139,nflow_ihdp_0.csv,authenticity_naive,0.7066666666666667
140,ddpm_ihdp_4.csv,marginal,0.9214380001282253
141,ddpm_ihdp_4.csv,delta_precision_alpha_OC,0.5467777777777778
142,ddpm_ihdp_4.csv,delta_coverage_beta_OC,0.3821111111111112
143,ddpm_ihdp_4.csv,authenticity_OC,0.5683333333333334
144,ddpm_ihdp_4.csv,delta_precision_alpha_naive,0.8018199233716475
145,ddpm_ihdp_4.csv,delta_coverage_beta_naive,0.353
146,ddpm_ihdp_4.csv,authenticity_naive,0.5716666666666667
147,ctgan_ihdp_2.csv,marginal,0.9664827054083341
148,ctgan_ihdp_2.csv,delta_precision_alpha_OC,0.47777777777777775
149,ctgan_ihdp_2.csv,delta_coverage_beta_OC,0.3262222222222222
150,ctgan_ihdp_2.csv,authenticity_OC,0.5733333333333334
151,ctgan_ihdp_2.csv,delta_precision_alpha_naive,0.9025593869731801
152,ctgan_ihdp_2.csv,delta_coverage_beta_naive,0.3694444444444446
153,ctgan_ihdp_2.csv,authenticity_naive,0.5666666666666667
154,tvae_ihdp_1.csv,marginal,0.8994191272019046
155,tvae_ihdp_1.csv,delta_precision_alpha_OC,0.42333333333333345
156,tvae_ihdp_1.csv,delta_coverage_beta_OC,0.3202222222222223
157,tvae_ihdp_1.csv,authenticity_OC,0.6066666666666667
158,tvae_ihdp_1.csv,delta_precision_alpha_naive,0.6697777777777778
159,tvae_ihdp_1.csv,delta_coverage_beta_naive,0.37344444444444447
160,tvae_ihdp_1.csv,authenticity_naive,0.5533333333333333
161,nflow_ihdp_2.csv,marginal,0.976060519433174
162,nflow_ihdp_2.csv,delta_precision_alpha_OC,0.2433333333333335
163,nflow_ihdp_2.csv,delta_coverage_beta_OC,0.19244444444444442
164,nflow_ihdp_2.csv,authenticity_OC,0.7066666666666667
165,nflow_ihdp_2.csv,delta_precision_alpha_naive,0.7585555555555555
166,nflow_ihdp_2.csv,delta_coverage_beta_naive,0.23188888888888892
167,nflow_ihdp_2.csv,authenticity_naive,0.665
168,ctgan_ihdp_1.csv,marginal,0.936312502688502
169,ctgan_ihdp_1.csv,delta_precision_alpha_OC,0.37122222222222223
170,ctgan_ihdp_1.csv,delta_coverage_beta_OC,0.27422222222222226
171,ctgan_ihdp_1.csv,authenticity_OC,0.6383333333333333
172,ctgan_ihdp_1.csv,delta_precision_alpha_naive,0.8932911877394636
173,ctgan_ihdp_1.csv,delta_coverage_beta_naive,0.3376666666666668
174,ctgan_ihdp_1.csv,authenticity_naive,0.6116666666666667
